,TITLES,PRICES,MARQUE,MODELE,ANNEE,CARBURANT,KILOMETRAGE,PUISSANCE,VILLE
0,dacia duster 2*4,115000.0,dacia,duster,2015,Diesel,177000,6.0,casablanca
1,ford titanium automatique,142000.0,ford,fusion,2015,Diesel,181000,8.0,casablanca
2,opel astra 2017,120000.0,opel,astra,2017,Diesel,160000,7.0,safi
3,hyundai tucson automatique,275000.0,hyundai,tucson,,Diesel,88000,7.0,safi
4,peugeot 308,162000.0,peugeot,308,2018,Diesel,145000,6.0,casablanca
5,megane 3,97000.0,renault,megane,2011,Diesel,215000,7.0,casablanca
6,peugeot 206 à vendre,46000.0,peugeot,206,2008,Essence,160000,8.0,tanger
7,toyota yaris 2000 essence,40000.0,toyota,yaris,2000,Essence,0,7.0,casablanca
8,ford fiesta titanium,118000.0,ford,fiesta,2015,Diesel,154000,6.0,kénitra
9,fiat 500x,120000.0,fiat,500,2016,Diesel,145000,6.0,tanger
10,ford fiesta essence,105000.0,ford,fiesta,2019,Essence,112000,6.0,mohammedia
11,citroen berlingo diesel manuelle 2022,195000.0,citroen,berlingo,,Diesel,12628,7.0,rabat
12,peugeot 307 à vendre mli7a rkeb o ziid,50000.0,peugeot,307,2006,Essence,220000,8.0,meknès
13,fiat doblo,130000.0,fiat,doblo,,Diesel,87000,6.0,rabat
14,subaru legacy sport 2012 vignette payee,40000.0,subaru,legacy,2012,Essence,147000,11.0,casablanca
15,range rover evoque full,250000.0,rover,sd1,2017,Diesel,1870000,6.0,casablanca
16,opel astra diesel manuelle 2017,147000.0,opel,astra,2017,Diesel,139000,6.0,casablanca
17,honda accord diesel manuelle 2008 à dar bouazza,79000.0,honda,accord,2008,Diesel,276000,8.0,casablanca
18,jeep grand cherokee bonne etat 2015,125000.0,jeep,grand cherokee,2015,Diesel,205000,12.0,casablanca
19,à vendre ford fusion,55000.0,ford,fusion,2011,Essence,120000,7.0,agadir
20,vente sportage 2024,300000.0,kia,sportage,,Diesel,10600,6.0,casablanca
21,mercedes benze class e250,65000.0,mercedes-benz,classe e,1999,Diesel,30000,11.0,guelmim
22,dacia sandero essence 2021 à mohammedia beni khlef,87000.0,dacia,sandero,2019,Essence,79000,6.0,mohammedia
23,une voiture a vendre,85000.0,volkswagen,polo,2011,Diesel,200000,5.0,sidi rahal
24,passat carat b6 2 litres ttes options à vendre.,95000.0,volkswagen,passat,2007,Diesel,245500,8.0,casablanca
25,chevrolet cruze,80000.0,chevrolet,cruze,2014,Diesel,199050,8.0,casablanca
26,voitures occasion,85000.0,volkswagen,polo,2011,Diesel,200000,5.0,sidi rahal
27,dacia sandero stepway,130000.0,dacia,sandero,2017,Diesel,100000,6.0,meknès
28,peugeot 206 a vendre a ain aouda,50000.0,peugeot,206,2013,Essence,10000,6.0,temara
29,honda accord 2.2 i-dtec,98000.0,honda,accord,2010,Diesel,278000,9.0,rabat
30,mini one automatique 2018,183000.0,mini,one,2018,Essence,55000,9.0,casablanca
31,mini cooper 2007,90000.0,mini,cooper coupé,2007,Essence,40000,9.0,casablanca
32,uno essence 1998,19000.0,fiat,uno,1998,Essence,220000,6.0,casablanca
33,vendre aumbulance,200000.0,renault,trafic,2014,Diesel,9000,7.0,tout le maroc
34,nissan xtrail 2019 7 places,215000.0,nissan,x-trail,2019,Diesel,49000,6.0,fès
35,renault symbol essence manuelle 2011 à casablanca,50000.0,renault,symbol,2011,Essence,194000,7.0,casablanca
36,citroën c3,90000.0,citroen,c3,2017,Diesel,0,6.0,meknès
37,citroen berlingo,143000.0,citroen,berlingo,2019,Diesel,122000,6.0,mohammedia
38,dokker 2020 1 ère main,135000.0,dacia,dokker,2019,Diesel,32500,6.0,meknès
39,fiat 500x automatique,145000.0,fiat,500,2018,Diesel,130000,6.0,casablanca
40,opel corsa 2022,145000.0,opel,corsa,2019,Diesel,28000,6.0,safi
41,toyota corolla 2014,120000.0,toyota,corolla,2014,Diesel,210000,5.0,el kelaa des sraghna
42,voiture vw jetta en excellent état,175000.0,volkswagen,jetta,2018,Diesel,86000,8.0,rabat
43,citroen c3,53000.0,citroen,c3,2008,Essence,230000,6.0,kénitra
44,opel corsa,79000.0,opel,corsa,2016,Essence,122000,8.0,mohammedia
45,kadjar en très bon état à vendre,215000.0,renault,espace,2019,Diesel,80000,6.0,casablanca
46,siena nkia,27000.0,fiat,siena elx,1999,Essence,0,5.0,casablanca
47,renault express 2023 excellent,148000.0,renault,express,,Diesel,25000,6.0,casablanca
48,honda jazz manuel essence,108000.0,honda,jazz,,Essence,94000,8.0,casablanca
49,mercedes cls 250d,213000.0,mercedes-benz,classe cls,2014,Diesel,160000,8.0,rabat
50,alfa romeo giulietta sprint bva,183000.0,alfa romeo,guilia,2019,Diesel,112000,6.0,rabat
51,206 hdi bonne état jamais touche,56000.0,peugeot,206,2006,Diesel,230000,6.0,casablanca
52,audi a4,1830000.0,audi,a4,2018,Diesel,200000,8.0,casablanca
53,renault captur diesel automatique 2019,165000.0,renault,zoe,2019,Diesel,107000,6.0,casablanca
54,clio2 classic,65000.0,renault,clio,2006,Diesel,171700,6.0,kénitra
55,punto a vendre,59000.0,fiat,punto,2013,Essence,188000,6.0,berrechid
56,toyota corolla bon état,163000.0,toyota,corolla,2017,Diesel,69000,5.0,rabat
57,renault clio iv - 2017 essence,100000.0,renault,clio,2017,Essence,33000,5.0,marrakech
58,audi q5 quattro,340000.0,audi,q5,,Diesel,113000,11.0,marrakech
59,r4 gtl,35000.0,renault,r4,1993,Essence,350000,6.0,casablanca
60,renault megane sedan dci-premiere main-annee 2020,190000.0,renault,megane,,Diesel,34000,6.0,casablanca
61,belle voiture,58000.0,toyota,corolla,2004,Diesel,0,8.0,casablanca
